# WaniKani - Kanji
# Generated on August 13, 2016 15:54 PM UTC
# WaniKani to Anki Exporter (http://wanikanitoanki.com)
#key;type;character;meaning;image;onyomi;kunyomi;important_reading;kana;level
k_卵;kanji;卵;egg;;らん;たまご;kunyomi;;32
k_浜;kanji;浜;beach;;ひん;はま;kunyomi;;28
k_七;kanji;七;seven;;しち;なな.*;onyomi;;1
k_謎;kanji;謎;riddle;;None;なぞ;kunyomi;;44
k_二;kanji;二;two;;に;ふた.*;onyomi;;1
k_雇;kanji;雇;employ;;こ;やと.う;onyomi;;39
k_加;kanji;加;add;;か;くわ.える;onyomi;;19
k_潔;kanji;潔;pure;;けつ;いさぎよ.い;onyomi;;28
k_三;kanji;三;three;;さん;み.*;onyomi;;1
k_鳩;kanji;鳩;dove, pigeon;;く;はと;kunyomi;;46
k_山;kanji;山;mountain;;さん;やま;onyomi;;1
k_衆;kanji;衆;populace;;しゅう;None;onyomi;;28
k_値;kanji;値;value;;ち;ね, あたい;kunyomi;;22
k_橋;kanji;橋;bridge;;きょう;はし;kunyomi;;13
k_大;kanji;大;big, large;;たい, だい;おお;onyomi;;1
k_女;kanji;女;woman;;じょ;おんな, め;onyomi;;1
k_芽;kanji;芽;sprout;;が;め;kunyomi;;44
k_販;kanji;販;sell;;はん;None;onyomi;;24
k_巨;kanji;巨;giant;;きょ;None;onyomi;;28
k_排;kanji;排;reject;;はい;None;onyomi;;40
k_替;kanji;替;replace;;たい;か;kunyomi;;25
k_才;kanji;才;genius;;さい;;onyomi;;2
k_煙;kanji;煙;smoke;;えん;けむ.り;onyomi;;18
k_仙;kanji;仙;hermit;;せん;None;onyomi;;39
k_員;kanji;員;member;;いん;;onyomi;;12
k_奪;kanji;奪;rob;;だつ;うば;kunyomi;;39
k_階;kanji;階;floor, story, storey;;かい;;onyomi;;12
k_換;kanji;換;exchange;;かん;か.える;onyomi;;36
k_卓;kanji;卓;table;;たく;None;onyomi;;45
k_右;kanji;右;right;;う, ゆう;みぎ;kunyomi;;2
k_度;kanji;度;degrees, occurrence;;ど, たく;たび;onyomi;;9
k_意;kanji;意;idea;;い;;onyomi;;11
k_拒;kanji;拒;refusal;;きょ;こば.む;onyomi;;39
k_甘;kanji;甘;sweet;;かん;あま;kunyomi;;36
k_牛;kanji;牛;cow;;ぎゅう;うし;onyomi;;3
k_磨;kanji;磨;polish;;ま;みが;kunyomi;;45
k_花;kanji;花;flower;;か, け;はな;kunyomi;;4
k_牙;kanji;牙;fang, tusk;;げ;きば;onyomi;;36
k_公;kanji;公;public;;こう;N/A;onyomi;;3
k_鋼;kanji;鋼;steel;;こう;はがね;onyomi;;39
k_応;kanji;応;respond;;おう;None;onyomi;;22
k_立;kanji;立;stand;;りつ;た.つ;onyomi;;2
