#key;type;character;meaning;image;onyomi;kunyomi;important_reading;kana;level
r_ground;radical;一;ground;;;;;;1
r_fins;radical;ハ;fins;;;;;;1
r_drop;radical;丶;drop;;;;;;1
r_slide;radical;丿;slide;;;;;;1
r_barb;radical;亅;barb;;;;;;1
r_two;radical;二;two;;;;;;1
r_lid;radical;亠;lid;;;;;;1
r_person;radical;人;person;;;;;;1
r_enter;radical;入;enter;;;;;;1
r_power;radical;力;power;;;;;;1
r_enclosure;radical;勹;enclosure;;;;;;1
r_mouth;radical;口;mouth;;;;;;1
r_grave;radical;土;grave;;;;;;2
r_big;radical;大;big;;;;;;1
r_treasure-chest;radical;凶;treasure-chest;;;;;;18
r_road;radical;道;road;;;;;;23
r_both;radical;両;both;;;;;;25
r_friend;radical;友;friend;;;;;;25
r_capital;radical;京;capital;;;;;;25
r_mullet;radical;广;mullet;;;;;;3
r_woman;radical;女;woman;;;;;;1
r_seven;radical;七;seven;;;;;;1
r_machine;radical;台;machine;;;;;;9
r_cross;radical;十;cross;;;;;;1
r_mountain;radical;山;mountain;;;;;;1
r_river;radical;川;river;;;;;;1
r_tree;radical;木;tree;;;;;;1
r_sword;radical;刀;sword;;;;;;2
r_construction;radical;工;construction;;;;;;1
r_narwhal;radical;ナ;narwhal;;;;;;2
r_nail;radical;丁;nail;;;;;;2
r_legs;radical;儿;legs;;;;;;2
r_head;radical;冂;head;;;;;;2
r_stool;radical;又;stool;;;;;;2
r_child;radical;子;child;;;;;;2
r_evening;radical;夕;evening;;;;;;2
r_guard;radical;兑;guard;;;;;;17
r_spring;radical;弓;spring;;;;;;2
r_flag;radical;尸;flag;;;;;;2
r_hair;radical;彡;hair;;;;;;2
r_ego;radical;我;ego;;;;;;26
r_half;radical;半;half;;;;;;21
r_five;radical;五;five;;;;;;2
r_heaven;radical;天;heaven;;;;;;2
r_someone;radical;者;someone;;;;;;12
r_teacher;radical;孝;teacher;;;;;;7
r_hand;radical;手;hand;;;;;;2
r_doll;radical;文;doll;;;;;;2
r_moon;radical;月;moon;;;;;;2
r_stop;radical;止;stop;;;;;;2
r_water;radical;水;water;;;;;;2
r_fire;radical;火;fire;;;;;;2
r_dog;radical;犬;dog;;;;;;2
r_king;radical;王;king;;;;;;2
r_middle;radical;中;middle;;;;;;2
r_real;radical;本;real;;;;;;2
r_rice-paddy;radical;田;rice-paddy;;;;;;2
r_white;radical;白;white;;;;;;2
r_eye;radical;目;eye;;;;;;2
r_stone;radical;石;stone;;;;;;2
r_stand;radical;立;stand;;;;;;2
r_ra;radical;ラ;ra;;;;;;3
r_nailbat;radical;扌;nailbat;;;;;;3
r_raptor-cage;radical;久;raptor-cage;;;;;;3
r_winter;radical;夂;winter;;;;;;3
r_antenna;radical;干;antenna;;;;;;3
r_lion;radical;L;lion;;;;;;6
r_top-hat;radical;且;top-hat;;;;;;7
r_spoon;radical;匕;spoon;;;;;;3
r_origin;radical;元;origin;;;;;;3
r_heart;radical;心;heart;;;;;;3
r_direction;radical;方;direction;;;;;;3
r_fur;radical;毛;fur;;;;;;3
r_arrow;radical;矢;arrow;;;;;;3
r_old;radical;古;old;;;;;;3
r_drawer;radical;母;drawer;;;;;;3
r_door;radical;戸;door;;;;;;3
r_measurement;radical;寸;measurement;;;;;;4
r_leader;radical;ｲ;leader;;;;;;4
r_forehead;radical;冖;forehead;;;;;;4
r_alligator;radical;也;alligator;;;;;;4
r_helmet;radical;宀;helmet;;;;;;4
r_ceremony;radical;弋;ceremony;;;;;;4
r_frog;radical;支;frog;;;;;;4
r_generation;radical;世;generation;;;;;;4
r_plate;radical;皿;plate;;;;;;4
r_part;radical;分;part;;;;;;14
r_pelican;radical;ネ;pelican;;;;;;4
r_horns;radical;;horns;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/6c840a98b2f09f21b1f7c90c79679ac30110985c.png;;;;;4
r_drum;radical;壴;drum;;;;;;16
r_bamboo;radical;竹;bamboo;;;;;;4
r_thread;radical;糸;thread;;;;;;4
r_poop;radical;幺;poop;;;;;;3
r_ear;radical;耳;ear;;;;;;4
r_insect;radical;虫;insect;;;;;;4
r_coffin;radical;耂;coffin;;;;;;5
r_red;radical;赤;red;;;;;;4
r_car;radical;車;car;;;;;;4
r_clam;radical;貝;clam;;;;;;4
r_foot;radical;足;foot;;;;;;4
r_not;radical;不;not;;;;;;4
r_samurai;radical;士;samurai;;;;;;4
r_rice;radical;米;rice;;;;;;4
r_bed;radical;巴;bed;;;;;;4
r_pi;radical;兀;pi;;;;;;4
r_energy;radical;气;energy;;;;;;4
r_books;radical;冊;books;;;;;;13
r_wolverine;radical;ヨ;wolverine;;;;;;5
r_twenty;radical;廾;twenty;;;;;;5
r_window;radical;毋;window;;;;;;5
r_meat;radical;肉;meat;;;;;;5
r_self;radical;自;self;;;;;;5
r_loiter;radical;彳;loiter;;;;;;6
r_see;radical;見;see;;;;;;4
r_two-face;radical;巾;two-face;;;;;;3
r_mustache;radical;冋;mustache;;;;;;5
r_go;radical;行;go;;;;;;5
r_west;radical;西;west;;;;;;5
r_lip-ring;radical;可;lip-ring;;;;;;5
r_axe;radical;斤;axe;;;;;;5
r_cliff;radical;厂;cliff;;;;;;4
r_key;radical;乍;key;;;;;;5
r_gold;radical;金;gold;;;;;;5
r_blue;radical;青;blue;;;;;;5
r_ice;radical;冫;ice;;;;;;5
r_run;radical;走;run;;;;;;5
r_sunflower;radical;里;sunflower;;;;;;5
r_cow;radical;牛;cow;;;;;;2
r_box;radical;凵;box;;;;;;6
r_chopsticks;radical;斗;chopsticks;;;;;;6
r_bird;radical;鳥;bird;;;;;;7
r_angel;radical;ホ;angel;;;;;;6
r_bad;radical;歹;bad;;;;;;6
r_cyclops;radical;向;cyclops;;;;;;6
r_jet;radical;未;jet;;;;;;6
r_pine;radical;禾;pine;;;;;;6
r_sheep;radical;羊;sheep;;;;;;6
r_kick;radical;;kick;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/822cfe52414225516f979a8020ab9e66963f2b7c.png;;;;;5
r_viking;radical;;viking;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/2aae1ef455429bf7a7655b13cfc8cb96adad64ad.png;;;;;5
r_color;radical;色;color;;;;;;5
r_coat-rack;radical;疋;coat-rack;;;;;;9
r_long;radical;長;long;;;;;;6
r_blood;radical;血;blood;;;;;;6
r_eat;radical;食;eat;;;;;;6
r_pile;radical;ム;pile;;;;;;2
r_mama;radical;マ;mama;;;;;;6
r_animal;radical;犭;animal;;;;;;6
r_nine;radical;九;nine;;;;;;1
r_fortune;radical;占;fortune;;;;;;6
r_stamp;radical;卩;stamp;;;;;;7
r_lack;radical;欠;lack;;;;;;6
r_duck;radical;氏;duck;;;;;;7
r_soldier;radical;矛;soldier;;;;;;7
r_sail;radical;舟;sail;;;;;;7
r_fish;radical;魚;fish;;;;;;7
r_husband;radical;夫;husband;;;;;;7
r_central;radical;央;central;;;;;;13
r_correct;radical;正;correct;;;;;;13
r_ribs;radical;刂;ribs;;;;;;6
r_products;radical;品;products;;;;;;13
r_yellow;radical;黄;yellow;;;;;;7
r_black;radical;黒;black;;;;;;7
r_master;radical;主;master;;;;;;4
r_meet;radical;会;meet;;;;;;5
r_hook;radical;ユ;hook;;;;;;8
r_spider;radical;夋;spider;;;;;;32
r_snake;radical;巳;snake;;;;;;8
r_boobs;radical;云;boobs;;;;;;8
r_ikea;radical;殳;ikea;;;;;;8
r_compare;radical;比;compare;;;;;;8
r_butcher;radical;阝;butcher;;;;;;9
r_sickle;radical;釆;sickle;;;;;;8
r_horse;radical;馬;horse;;;;;;8
r_hut;radical;介;hut;;;;;;9
r_history;radical;史;history;;;;;;9
r_tent;radical;癶;tent;;;;;;9
r_ghost;radical;周;ghost;;;;;;7
r_longcat;radical;吉;longcat;;;;;;17
r_city;radical;市;city;;;;;;19
r_hole;radical;穴;hole;;;;;;8
r_clown;radical;咅;clown;;;;;;9
r_wing;radical;勿;wing;;;;;;7
r_tongue;radical;舌;tongue;;;;;;8
r_spicy;radical;辛;spicy;;;;;;9
r_table;radical;几;table;;;;;;7
r_lantern;radical;开;lantern;;;;;;5
r_waiter;radical;片;waiter;;;;;;30
r_worm;radical;;worm;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/60cce3d76a2210824934615d5534538648ef3746.png;;;;;17
r_poem;radical;苟;poem;;;;;;17
r_cleat;radical;;cleat;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/a4984a16b4a291a5099d422b202071a923e20729.png;;;;;9
r_hick;radical;;hick;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/d3012a9c7a28e083ae268a46f3976e4d879b204a.png;;;;;9
r_superman;radical;辰;superman;;;;;;10
r_kiss;radical;各;kiss;;;;;;10
r_beans;radical;豆;beans;;;;;;10
r_alcohol;radical;酉;alcohol;;;;;;10
r_gravity;radical;易;gravity;;;;;;8
r_music;radical;曲;music;;;;;;10
r_dynamite;radical;丙;dynamite;;;;;;10
r_wind;radical;風;wind;;;;;;44
r_heavy;radical;重;heavy;;;;;;9
r_orders;radical;令;orders;;;;;;11
r_tiger;radical;虍;tiger;;;;;;17
r_long-ago;radical;昔;long-ago;;;;;;18
r_stilts;radical;斉;stilts;;;;;;21
r_mix;radical;交;mix;;;;;;25
r_drunkard;radical;戈;drunkard;;;;;;11
r_older-brother;radical;兄;older-brother;;;;;;11
r_escalator;radical;及;escalator;;;;;;11
r_good;radical;艮;good;;;;;;11
r_sound;radical;音;sound;;;;;;11
r_few;radical;少;few;;;;;;11
r_witch-doctor;radical;単;witch-doctor;;;;;;11
r_stairs;radical;乃;stairs;;;;;;10
r_early;radical;早;early;;;;;;12
r_blackjack;radical;;blackjack;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/fabacff48519ca618e625e41122ffc88defbd458.png;;;;;11
r_bear;radical;;bear;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/b28490c3120f080ee2a5e3e1700d581d671d5bd7.png;;;;;11
r_tofu;radical;;tofu;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/9b86ac7a359d8dc88169e5ab9abd3ef40a85b062.png;;;;;12
r_kiln;radical;堇;kiln;;;;;;34
r_fat;radical;太;fat;;;;;;46
r_reality;radical;真;reality;;;;;;39
r_tie-fighter;radical;亜;tie-fighter;;;;;;12
r_crab;radical;其;crab;;;;;;12
r_big-bird;radical;廴;big-bird;;;;;;12
r_jackhammer;radical;示;jackhammer;;;;;;12
r_excuse;radical;免;excuse;;;;;;12
r_injustice;radical;非;injustice;;;;;;12
r_younger-brother;radical;弟;younger-brother;;;;;;12
r_temple;radical;寺;temple;;;;;;11
r_life;radical;生;life;;;;;;3
r_devil;radical;反;devil;;;;;;9
r_water-slide;radical;⻌;water-slide;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/bed4e20d48bcb3c86ae9822620f2e616c12958f1.png;;;;;5
r_feeling;radical;感;feeling;;;;;;19
r_previous;radical;先;previous;;;;;;18
r_feathers;radical;羽;feathers;;;;;;5
r_say-humbly;radical;申;say-humbly;;;;;;11
r_gate;radical;門;gate;;;;;;7
r_leaf;radical;;leaf;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/ca386aec7915ab74e52ec506ed2e532d4631bb06.png;;;;;1
r_district;radical;区;district;;;;;;29
r_blame;radical;責;blame;;;;;;29
r_gun;radical;;gun;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/80fff71b321c8cee57db7224f5fe1daa331128b5.png;;;;;1
r_train;radical;;train;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/044b209e24465c1512fd73b8f23f5d456db49ffb.png;;;;;9
r_triceratops;radical;;triceratops;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/f12384bff66bcddd1f6132e7188096ce6919908a.png;;;;;3
r_hat;radical;;hat;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/23c56c9fb6176a94fb4f3771a5bde10a7feb54b5.png;;;;;3
