# WaniKani - Vocabulary
# Generated on August 13, 2016 15:54 PM UTC
# WaniKani to Anki Exporter (http://wanikanitoanki.com)
#key;type;character;meaning;image;onyomi;kunyomi;important_reading;kana;level
v_胃痛;vocabulary;胃痛;stomachache;;;;;いつう;27
v_二;vocabulary;二;two;;;;;に;1
v_微生物;vocabulary;微生物;microorganism, microbe;;;;;びせいぶつ;28
v_名人;vocabulary;名人;master, expert;;;;;めいじん;4
v_中毒;vocabulary;中毒;poisoning, addiction;;;;;ちゅうどく;15
v_六;vocabulary;六;six;;;;;ろく;2
v_予想;vocabulary;予想;expectation, anticipation, expect, anticipate, prediction;;;;;よそう;13
v_猫舌;vocabulary;猫舌;aversion to hot foods;;;;;ねこじた;19
v_汁;vocabulary;汁;soup;;;;;しる;35
v_僕;vocabulary;僕;i, me;;;;;ぼく;44
v_順位;vocabulary;順位;ranking, standing;;;;;じゅんい;19
v_貴重品;vocabulary;貴重品;valuables, treasures;;;;;きちょうひん;36
v_下さい;vocabulary;下さい;please;;;;;ください;1
v_十;vocabulary;十;ten;;;;;じゅう;1
v_石;vocabulary;石;stone;;;;;いし;2
v_前回;vocabulary;前回;last time;;;;;ぜんかい;8
v_変死;vocabulary;変死;unnatural death, accidental death;;;;;へんし;15
v_細かい;vocabulary;細かい;detailed, small, fine, trivial;;;;;こまかい;19
v_妙;vocabulary;妙;odd, unusual, strange;;;;;みょう;28
v_五月;vocabulary;五月;may;;;;;ごがつ;2
v_薄弱;vocabulary;薄弱;weakness, feebleness;;;;;はくじゃく;40
v_刀;vocabulary;刀;sword, katana;;;;;かたな;2
v_天才;vocabulary;天才;genius;;;;;てんさい;2
v_矢;vocabulary;矢;arrow;;;;;や;3
v_文章;vocabulary;文章;article, sentence, composition;;;;;ぶんしょう;12
v_空港;vocabulary;空港;airport;;;;;くうこう;12
v_一億;vocabulary;一億;one hundred million;;;;;いちおく;13
v_易しい;vocabulary;易しい;easy, simple to do;;;;;やさしい;19
v_並;vocabulary;並;ordinary, average;;;;;なみ;28
v_貧しい;vocabulary;貧しい;poor;;;;;まずしい;30
v_童話;vocabulary;童話;children's story, fairy tale;;;;;どうわ;12
v_仕草;vocabulary;仕草;action, acting, gesture, bearing, treatment, behavior, behaviour, movement;;;;;しぐさ;5
v_王;vocabulary;王;king;;;;;おう;2
v_演ずる;vocabulary;演ずる;to perform, to play;;;;;えんずる;23
v_立つ;vocabulary;立つ;to stand;;;;;たつ;2
v_白;vocabulary;白;white;;;;;しろ;2
v_共同;vocabulary;共同;cooperation, collaboration;;;;;きょうどう;11
v_愛国心;vocabulary;愛国心;patriotism;;;;;あいこくしん;17
v_半分;vocabulary;半分;half;;;;;はんぶん;3
